Field;Tag;Name;Format;;0100;0100;0110;;0400;0410;Format;0306;0146;0506;0604;0360;0804;Format;from;to;Template;Tag;Mand;Description;Origin;Method
46;DF55;Compl�ments de donn�es de r�f�rence du syst�me d'acceptation ;;;;;;;;;s10;;;;DF55;;;;;;;;;;;
46;DF56;Compl�ment de donn�es de r�f�rence du point d'acceptation;;;;;;;;;s10;;;;DF56;;;;;;;;;;;
46;DF58;Param�tres de l'�tat fonctionnel;;;;;;;;;ans7;;;;DF58;;;;;;;;;;;
46;DF60;Derni�re date/heure de mise en oeuvre des diff�rents services;;;;;;;;;ans36;;;;DF60;;;;;;;;;;;
46;DF66;Donn�es de r�f�rence du syst�me d'acceptation;;;;;;;;;ans89;;;;DF66;;;;;;;;;;;
46;DF67;Donn�es de r�f�rence du point d'acceptation ;;;;;;;;;ans79;;;;DF67;;;;;;;;;;;
46;DF92;Kernel ID ;;;;;;;;;b1;;;;DF92;;;;;;;;;;;
46;DF94;Compl�ment d'information du num�ro de s�rie;;;;;;;;;ans1...10;;;;DF94;;;;;;;;;;;
46;DF65;Mode de raccordement courant du syst�me d'acceptation;;;;;;;;;n2;;;;;;DF65;;;;;;;;;
47;;Donn�es compl�mentaires nationales;LLLVAR ans...255;47;C(2);C(2);C(2);47;C(2);C(2);LVAR ans...255;47;47;47;;;47;;;;;;;;;
47;08;Type de site ;ans...8;08;C(63);C(63);FQ;08;CQI(104);FQ;;;;;;;;;;;;;;;;
47;24;Num�ro de dossier ;anp12;24;C(47);C(47);CQ(47);24;CQI(104);CQ(9);anp12;;24;;;;;;;;;;;;Pos;
47;30;Capacit� additionnelle de lecture de carte;n1;30;C(3);C(3);FQ;30;CQI(104);FQ;n1;;30;;;;;;;;;;;;;
47;31;Informations sur le point d'acceptation;n1;31;C(3);C(3);FQ;31;CQI(104);FQ;;;;;;;;;;;;;;;;
47;95;Donn�es de r�seau ;an...50;95;;;C(3);95;CRI(116);FQ;an...50;;95;;;;;;;;;;;;;
47;96;SIRET ;ans14;96;C(63);C(63);FQ;96;CQI(104);FQ;ans14;;;;;;;ans14;;;;DF5D;;SIRET;Application;
47;97;IDPA (Identification du Point d'Acceptation) ;ans8;97;C(63);C(63);FQ;97;CQI(104);FQ;ans8;;;;;;;ans8;;;;DF5C;;IDPA (Identification du Point d'Acceptation);Application;
47;A0;IDSA (Identification du Syst�me d'Acceptation);ans8;A0;C(63);C(63);FQ;A0;CQI(104);FQ;ans8;;;;;;;ans8;;;;DF5E;;IDSA (Identification du Syst�me d'Acceptation);Application;
47;02;Environnement r�glementaire / technique de la transaction ;;;;;;;;;an2;02;;;;;;;;;;;;;;
47;06;Type de site;;;;;;;;;ans...8;06;;;;;06;;;;;;;;;
47;07;Ann�e de la transaction;;;;;;;;;AA n2 ;07;07;07;;;07;;;;;;;;;
47;01;*Raison de la demande d'autorisation;;;;;;;;;n4;;01;;;;;;;;;;;;;
47;03;Type de facture/proc�dure;;;;;;;;;n1;;03;;;;;;;;;;;;;
47;04;Date et heure locale de la demande d'autorisation ;;;;;;;;;n12;;04;;;;;;;;;;;;;
47;05;Code for�age d'une transaction en autorisation ;;;;;;;;;n1;;05;;;;;;;;;;;;;
47;10;Num�ro de la transaction g�n�r� par le syst�me d'acceptation;;;;;;;;;n6;;10;;;;;;;;;;;;;
47;26;Type de transfert de fonds;;;;;;;;;an3;;26;;;;;;;;;;;;;
47;32;ITPPA (ITP du point d'acceptation);;;;;;;;;ans12;;32;;;;;;;;;;;;;
47;16;Fonctions de protocole support�es;;;;;;;;;an8;;;;;;16;;;;;;;;;
47;18;Code pays du syst�me d'acceptation;;;;;;;;;n3;;;;;;18;;;;;;;;;
47;09;Nombre de transactions non abouties d'une remise;;;;;;;;;n6;;;09;;;;;;;;;;;;
47;48;TASA (Type d'Applicatif du Syst�me d�Acceptation);;;;;;;;;b5...16;;;;;;48;;;;;;;;;
49;;Code monnaie de la transaction;n3;49;X;X;XQ;49;XQI;XQ;n3;49;;;;;;n3;;;;5F2A;;Transaction Currency Code;Terminal;constructed
50;;Code monnaie ou devise de la consolidation;n3;;;;;;;;n3;;;50;;;;;;;;;;;;
53;;Informations li�es � la s�curit�;n16;53;X;X;X;53;XS;XS;n16;;;;;;;;;;;;;;;constructed
54;;Montants suppl�mentaires;LLLVAR ans...120;54;;;C(118);;;;LVAR ans...120;;54;;;;;;;;;;;;;
54;51;Montant estim� ;;;;;;;;;an2;;51;;;;;;;;;;;;;
54;53;Montant d'un transaction en contre valeur ;;;;;;;;;an2;;53;;;;;;;;;;;;;
54;54;Montant d'autorisation;;;;;;;;;an2;;54;;;;;;;;;;;;;
54;57;Montant d'origine;;57;;;C(115);;;;an2;;57;;;;;;;;;;;;;
54;59;Montant autoris�;;;;;;;;;;;59;;;;;;;;;;;;;
55;;Donn�es li�es aux cartes � microcircuit;LLLVAR b...255;55;C(2);C(2);C(2);55;C(2);C(2);LVAR b...255;;55;;;;;;;;;;;;;
55;0056;Donn�es �quivalentes � la piste ISO1 lues en mode sans contact;ans...76;0056;;C(48);;;;;ans...76;;0056;;;;;;;;;56;;Track 1 Equivalent Data;Card;
55;0057;Track 2 equivalent data;b...19;0057;C(84);;;;;;;;;;;;;b...19;;;70 or 77 ;57;;Track 2 Equivalent Data;Card;primitive
55;0071;Issuer Script Template1 ;b...128;0071;;;C(24);;;;;;;;;;;b...128;;;;71;;Issuer Script Template 1;Issuer;constructed
55;0072;Issuer Script Template2;b...128;0072;;;C(24);;;;;;;;;;;b...128;;;;72;;Issuer Script Template 2;Issuer;constructed
55;0082;Application Interchange Profile (AIP) ;b2;0082;X;C(48);;;;;b2;;0082;;;;;b2;;;77 or 80 ;82;;Application Interchange Profile (AIP);Card;primitive
55;0091;Issuer Authentication Data ;b8...16;0091;;;C(24);;;;;;;;;;;b8...16;;;;91;;Issuer Authentication Data;Issuer;primitive
55;0095;Terminal Verification Results (TVR);b5;0095;X;;;0095;C(104);;;;;;;;;b5;;;;95;;Terminal Verification Results (TVR);Terminal;
55;009C;Transaction type ;n2;009C;X;;;009C;CQI(104);;;;;;;;;n2;;;;9C;;Transaction Type;Pos;primitive
55;5F24;Application expiration date ;AAMMJJ n6;5F24;X;;FQ;;;;AAMMJJ n6;;5F24;;;;;AAMMJJ n6;;;70 or 77 ;5F24;X;Application Expiration Date;Card;primitive
55;5F25;Application effective date ;AAMMJJ n6;;;;;;;;AAMMJJ n6;;5F25;;;;;AAMMJJ n6;;;70 or 77 ;5F25;;Application Effective Date;Card;primitive
55;9F06;Application Identifier (AID);b5...16;9F06;X;C(48);;9F06;CQI(104);;b5...16;;9F06;;;;;b5...16;;;;9F06;;Application Identifier (AID)  Terminal;Terminal;primitive
55;9F10;Issuer application data;b...32;9F10;C(84);;;9F10;C(104);;b...32;;9F10;;;;;b...32;;;77 or 80;9F10;;Kernel Identifier;Card;primitive
55;9F26;Application Cryptogram ;b8;9F26;X;;;;;;b8;;9F26;;;;;b8;;;77 or 80 ;9F26;;Application Cryptogram (AC);Card;constructed
55;9F27;Cryptogram Information Data (CID) ;b1;9F27;X;;;;;;b1;;9F27;;;;;b1;;;77 or 80 ;9F27;;Cryptogram Information Data (CID);Card;constructed
55;9F33;Terminal capabilities ;b3;9F33;X;C(101);;9F33;CQI(104);;;;;;;;;b 24;;;;9F33 ;;Terminal Capabilities;Terminal;constructed
55;9F34;Cardholder Verification Method Results;b3;9F34;C(29);;;;;;;;;;;;;b3;;;;9F34;;Cardholder Verification Method (CVM) Results;Terminal;constructed
55;9F35;Terminal type ;n2;9F35;C(3);C(3);;9F35;CQI(104);;;;;;;;;n2;;;;9F35 ;;Terminal Type;Terminal;constructed
55;9F36;Application Transaction Counter (ATC) ;b2;9F36;X;;;9F36;CQI(104);;b2;;9F36;;;;;b2;;;77 or 80 ;9F36;;Application Transaction Counter (ATC);Card;constructed
55;9F37;Unpredictable Number ;b4;9F37;X;;;;;;;;;;;;;b4;;;;9F37 ;;Unpredictable Number (UN);Terminal;constructed
55;9F66;Terminal transaction qualifiers (TTQ);s4;9F66;C(48);;;9F66;CQI(104);;;;;;;;;b4;;;;9F66;;Terminal Transaction Qualifiers (TTQ);Terminal;
55;9F6B;Donn�es �quivalentes � la piste ISO2 lues en mode sans contact;b...19;9F6B;C(48);C(48);;;;;b...19;;;;;;;b...19;;;;9F6B;;Track 2 Data;Card;
55;9F7C;Customer Exclusive Data (CED) ;b...32;9F7C;C(48);;;9F7C;CQI(104);;b...32;;;;;;;b...32;;;;9F7C;;Customer Exclusive Data (CED);Card;
55;DF68;Kernel ID utilis�;b1;DF68;C(48);C(48);;DF68;CQI(104);;;;;;;;;b1;;;61;9F2A;;Kernel Identifier;Card;primitive
55;DF80;R�sultats des traitements effectu�s sur le microcircuit;n2;DF80;C(127);C(29);FQ;;;;;;DF80;;;;;;;;;;;;;
55;DF81;Type d'application carte ;n1;DF81;X;C(49);FQ;DF81;CQI(104);FQ;;;;;;;;;;;;;;;;
55;DF85;R�sultat du traitement terminal (RTT);b5;DF85;C(48);;;DF85;C(104);;;;;;;;;;;;;;;;;
55;DF86;Dispositif sans contact ;b...35;DF86;C(48);C(48);;DF86;C(104);;b...35;;;;;;;;;;;;;;;
55;FF00;Issuer script results ;b...5;;;;;FF00;C(29);;;;;;;;;;;;;;;;;
55;9F0A;donn�es cartes propri�taires assign�es par EMV;b4...252;9F0A;C(84);C(84);;9F0A;CQI(104);;;;9F0A;;;;;;;;;;;;;
55;0084;Dedicated File Name (****SUPPRIMER BULLETIN JUIN);b5...16;0084;X;C(48);;0084;CQI(104);;;;;;;;;b5...16;;;6F ;84;;Dedicated File (DF) Name;Card;primitive
55;008E;CVM list (Cardholder Verification Method list) ;;;;;;;;;b...252;;008E;;;;;b10...252;;;70 or 77;8E;;Cardholder Verification Method (CVM) List;Card;primitive
55;009A;Terminal transaction date;;;;;;;;;AAMMJJ n6 ;;009A;;;;;AAMMJJ n6;;;;9A;;Transaction Date;Pos;primitive
55;9F02;Amount  authorized;;;;;;;;;n12;;9F02;;;;;n12;;;;9F02;;Amount  Authorised (Numeric);Terminal;primitive
55;9F07;Application usage control (AUC);;;;;;;;;b2;;9F07;;;;;b2;;;70 or 77 ;9F07;;Application Usage Control (AUC);Card;primitive
55;9F0D;Issuer action code default;;;;;;;;;b5;;9F0D;;;;;b5;;;70 or 77 ;9F0D;;Issuer Action Code - Default;Card;primitive
55;9F0E;Issuer action code denial ;;;;;;;;;b5;;9F0E;;;;;b5;;;70 or 77 ;9F0E;;Issuer Action Code - Denial;Card;primitive
55;9F0F;Issuer action code on-line;;;;;;;;;b5;;9F0F;;;;;b5;;;70 or 77 ;9F0F;;Issuer Action Code - Online;Card;primitive
55;DF70;R�sultats des v�rifications de l'applicatif CB effectu�s par le syst�me d'acceptation ;;;;;;;;;an2;;DF70;;;;;;;;;;;;;
55;DF73;Type d'application carte;;;;;;;;;an1;;DF73;;;;;;;;;;;;;
56;;Donn�es additionnelles;LLLVAR b...255;56;C(2);C(2);;56;C(2);;LLVAR n...36;;56;;;;;;;;;;;;;constructed
56;0001;Donn�es facilitateur de paiement ;s27 {n11 n11 ans15};0001;C(3);C(3);;0001;CQI(104);;;;;;;;;;;;;;;;;
56;0002;Indicateur s�lection application ;n2;0002;C(3);C(3);;0002;;;;;;;;;;;;;;;;;;
56;0003;Marque choisie ;b1;0003;C(3);C(3);;0003;CQI(104);;;;;;;;;;;;;;;;;
56;0005;Code produit carte SA;an3;0005;C(3);C(3);;0005;CQI(104);;;;;;;;;;;;;;;;;
58;;R�serv� national;;;;;;;;;LVAR ansb...255;;58;58;58  ;58;;;;;;;;;;
58;0095;Terminal Verification Results (TVR);;;;;;;;;b5;;0095;0095;;;;b5;;;;95;;Terminal Verification Results (TVR);Terminal;
58;009C;Transaction type ;;;;;;;;;n2;;009C;009C;;;;n2;;;;9C;;Transaction Type;Pos;primitive
58;0409;Informations relatives au traitement du cryptogramme commerce �lectronique;;;;;;;;;anp1;;0409;;;;;;;;;;;;;
58;0410;M�thode d'authentification porteur utilis�e par l'�metteur;;;;;;;;;ans2;;0410;;;;;;;;;;;;;
58;0411;M�thode de calcul du cryptogramme de commerce �lectronique;;;;;;;;;an1;;0411;;;;;;;;;;;;;
58;0412;R�sultat de l'utilisation de l'architecture de paiement � distance s�curis�;;;;;;;;;s4;;0412;;;;;;;;;;;;;
58;0413;Mode de s�curisation de la transaction modifi� ;;;;;;;;;b1;;0413;;;;;;;;;;;;;
58;0414;Donn�es compl�mentaires de commerce �lectronique ;;;;;;;;;s3...40;;0414;;;;;;;;;;;;;
58;0415;D�nomination du portefeuille num�rique;;;;;;;;;an2;;0415;;;;;;;;;;;;;
58;0416;Indicateur de commerce �lectronique;;;;;;;;;an2;;0416;;;;;;;;;;;;;
58;0417;Donn�es additionnelles portefeuilles num�riques ;;;;;;;;;an12...24;;0417;;;;;;;;;;;;;
58;0418;Identifiant wallet;;;;;;;;;n6;;0418;;;;;;;;;;;;;
58;0603;Agent Unique ID;;;;;;;;;an5;;0603;;;;;;;;;;;;;
58;0809;Type d'�dition du ticket porteur;;;;;;;;;b1;;0809;;;;;;;;;;;;;
58;9F33;Terminal capabilities ;;;;;;;;;b3;;9F33;;;;;b3;;;;9F33 ;;Terminal Capabilities;Terminal;constructed
58;9F34;CVM results (Cardholder Verification Method results) ;;;;;;;;;b3;;9F34;;;;;b3;;;;9F34 ;;Cardholder Verification Method (CVM) Results;Terminal;constructed
58;9F35;Terminal type;;;;;;;;;n2;;;;9F35;;;n2;;;;9F35 ;;Terminal Type;Terminal;constructed
58;9F37;Unpredictable number terminal;;;;;;;;;b4;;9F37;;;;;b4;;;;9F37 ;;Unpredictable Number (UN);Terminal;constructed
58;9F66;Terminal Transaction Qualifiers (TTQ) ;;;;;;;;;s4;;9F66;;;;;b4;;;;9F66 ;;Terminal Transaction Qualifiers (TTQ);Terminal;
58;DF30;Type de prise en compte;;;;;;;;;an1;;;;;DF30;;;;;;;;;;
58;DF31;Sceau;;;;;;;;;b1;;;;;DF31;;;;;;;;;;
58;DF32;Type de sceau;;;;;;;;;an2;;;;;DF32;;;;;;;;;;
58;DF85;R�sultat du Traitement Terminal (RTT);;;;;;;;;b5;;DF85;;;;;;;;;;;;;
58;DF93;Kernel ID utilis� ;;;;;;;;;b1;;DF93;;;;;;;;;;;;;
58;FF0D;Terminal action code default;;;;;;;;;b5;;FF0D;;;;;b5;;;;DF56;;Terminal Action Code - Default;Terminal;primitive
58;FF0E;Terminal action code denial;;;;;;;;;b5;;FF0E;;;;;b5;;;;DF57;;Terminal Action Code - Denial;Terminal;primitive
58;FF0F;Terminal action code on-line ;;;;;;;;;b5;;FF0F;;;;;b5;;;;DF58;;Terminal Action Code - Online;Terminal;primitive
58;FF47;Type de s�curisation de transaction de commerce �lectronique ;;;;;;;;;n2;;FF47;;;;;;;;;;;;;
58;FF48;Identifiant transaction fourni par l'accepteur ;;;;;;;;;b20;;FF48;;;;;;;;;;;;;
58;FF49;Cryptogramme de commerce �lectronique ;;;;;;;;;b20...40;;FF49;;;;;;;;;;;;;
58;FF50;*Motif de la transaction non aboutie ;;;;;;;;;an2;;FF50;;;;;;;;;;;;;
58;FF81;Error Indication;;;;;;;;;b3;;FF81;;;;;;;;;;;;;
59;;Donn�es nationales;LLLVAR b...255;59;C(2);C(2);C(2);59;C(2);C(2);LLVAR ansb...65535;;59;;;;;;;;;;;;;
59;0100;Code fonction;n3;0100;C(47);C(47);FQ;0100;CQI(104);;;;;;;;;;;;;;;;;constructed
59;0101;*Code raison du message;n4;0101;X;X;FQ;0101;XS;FQ;;;;;;;;;;;;;;;;constructed
59;0102;Ann�e de la transaction ;n2;0102;XS;XS;CQ(95);0102;XS;FQ;;;;;;;;n6;0;2;;9A;;Transaction Date;Pos;primitive
59;0200;Environnement r�glementaire et technique de la transaction;b1;0200;X;X;FQ;0200;XQI;FQ;;;;;;;;;;;;;;;;constructed
59;0201;ITPSA (ITP du syst�me d'acceptation );n12;0201;X;X;FQ;0201;XQI;;;;;;;;;;;;;;;;Application;
59;0202;Num�ro de contrat accepteur ;n7;0202;X;X;FQ;0202;XQI;FQ;;;;;;;;ans7;;;;DF5F;;Acceptor Contract Number;Application;
59;0203;Num�ro logique du syst�me d'acceptation ;n3;0203;X;X;FQ;0203;XQI;FQ;;;;;;;;ans3;;;;DF51;;;Application;
59;0204;Num�ro logique du point d'acceptation;n3;0204;C(22);C(22);FQ;0204;CQI(104);;;;;;;;;ans3;;;;DF5B;;;Application;
59;0205;Code pays du syst�me d'acceptation ;n3;0205;C(63);C(63);FQ;0205;CQI(104);;;;;;;;;n3;;;;9F1A;;Terminal Country Code;Terminal;primitive
59;0207;Montant cumul� par porteur;n12;0207;X;X;FQ;0207;XQI;FQ;;;;;;;;;;;;;;;;
59;020B;TASA (Type d'Applicatif du Syst�me d�Acceptation);b5...16;020B;X;X;FQ;020B;XQI;;;;;;;;;b5...16;5;16;;48;;;;
59;0215;ITPPA (ITP du point d'acceptation );n12;0215;C(3);C(3);FQ;0215;CQI(104);;;;;;;;;;;;;;;;;
59;0417;Donnees additionnelles portefeuilles numeriques ;an12...24;;;;;0417;CQI(104);;;;;;;;;;;;;;;;;
59;0418;Identifiant wallet;n6;;;;;0418;CQI(104);;;;;;;;;;;;;;;;;
59;0800;Type de facture / proc�dure ;n2;0800;C(47);C(47);FQ;;;;;;;;;;;;;;;;;;;
59;0805;Services optionnels support�s (Domaine accepteur) ;b2;0805;C(3);C(3);;;;;;;;;;;;;;;;;;;;
59;0001;Donn�es facilitateur de paiement ;;;;;;;;;s27;;0001;;;;;;;;;;;;;
59;0002;Indicateur s�lection application;;;;;;;;;n2;;0002;;;;;;;;;;;;;
59;0003;Marque choisie ;;;;;;;;;n2;;0003;;;;;;;;;;;;;
59;0004;Adresse commer�ant final ;;;;;;;;;ans40;;0004;;;;;;;;;;;;;
59;0005;Code Produit SA;;;;;;;;;an3;;0005;;;;;;;;;;;;;
66;;Code consolidation ;;;;;;;;;n1;;;66;;;;;;;;;;;;
67;;Gestion des Transferts;;;;;;;;;n4;;;;;;67;;;;;;;;;
70;;Gestion transfert (sens Accepteur- Acqu�reur) ;;;;;;;;;n14;70;;70;;;;;;;;;;;;
71;;Gestion transfert (sens Acqu�reur - Accepteur) ;;;;;;;;;n14;;;;;71;;;;;;;;;;
72;;Donn�es transf�r�es;;;;;;;;;LLVAR ansb...65535;;;;;72;;;;;;;;;;
72;DF01;Param�tres de la monnaie ou devise ;;;;;;;;;ans25;;;;;DF01;;;;;;;;;;
72;DF02;Param�tres messages porteur;;;;;;;;;ansc48;;;;;DF02;;;;;;;;;;
72;DF03;Param�tres messages accepteur;;;;;;;;;ansc48;;;;;DF03;;;;;;;;;;
72;DF04;Param�tres accepteur;;;;;;;;;ansc107;;;;;DF04;;;;;;;;;;
72;DF05;Param�tres d'�dition du ticket porteur ;;;;;;;;;ansc100;;;;;DF05;;;;;;;;;;
72;DF06;Param�tres d'�dition du ticket compte-rendu;;;;;;;;;ansc100;;;;;DF06;;;;;;;;;;
72;DF07;Param�tres applicatifs;;;;;;;;;an22;;;;;DF07;;;;;;;;;;
72;DF08;Param�tres d'appel;;;;;;;;;an17;;;;;DF08;;;;;;;;;;
72;DF09;Param�tres d'horodatage GMT;;;;;;;;;an29;;;;;DF09;;;;;;;;;;
72;DF0B;Param�tres autre monnaie ou devise ;;;;;;;;;an8;;;;;DF0B;;;;;;;;;;
72;DF0C;Param�tres risque acqu�reur / Code num�rique de la monnaie ou devise ;;;;;;;;;an3;;;;;DF0C;;;;;;;;;;
72;DF16;Param�tres liste des cl�s publiques d'authentification EMV;;;;;;;;;ansb12;;;;;DF16;;;;;;;;;;
72;DF17;Param�tres liste des AID EMV;;;;;;;;;s10...21;;;;;DF17;;;;;;;;;;
72;DF18;Liste des TAC EMV ;;;;;;;;;s21...32;;;;;DF18;;;;;;;;;;
72;DF19;Liste des donn�es sp�cifiques par AID;;;;;;;;;s10...272;;;;;DF19;;;;;;;;;;
72;DF1A;DOL EMV par d�faut pour une application carte EMV;;;;;;;;;s7....270;;;;;DF1A;;;;;;;;;;
